,full
Head_quat_x_median_Head_velocity_y_mean,0.8595238095238096
Head_quat_x_median_Head_velocity_z_median,0.8595238095238096
Head_quat_x_median_Head_velocity_z_mean,0.8688942191480262
Head_quat_x_median_LeftHand_velocity_x_median,0.8595238095238096
Head_quat_x_median_LeftHand_velocity_x_mean,0.8595238095238096
Head_quat_x_median_LeftHand_velocity_y_median,0.8595238095238096
Head_quat_x_median_LeftHand_velocity_y_mean,0.874939874939875
Head_quat_x_median_LeftHand_velocity_z_median,0.8595238095238096
Head_quat_x_median_LeftHand_velocity_z_mean,0.8595238095238096
Head_quat_x_median_RightHand_velocity_x_median,0.8595238095238096
Head_quat_x_median_RightHand_velocity_x_mean,0.8595238095238096
Head_quat_x_median_RightHand_velocity_y_median,0.8595238095238096
Head_quat_x_median_RightHand_velocity_y_mean,0.8999518999518998
Head_quat_x_median_RightHand_velocity_z_median,0.8547499401770758
Head_quat_x_median_RightHand_velocity_z_mean,0.8547499401770758
Head_quat_x_median_RightHand_velocity_z_max,0.8595238095238096
Head_quat_x_mean_Head_quat_y_median,0.8595238095238096
Head_quat_x_mean_Head_quat_y_mean,0.8450568044476674
Head_quat_x_mean_Head_quat_z_median,0.8595238095238096
Head_quat_x_mean_Head_quat_z_mean,0.8595238095238096
Head_quat_w_median_Head_quat_x_mean,0.8595238095238096
Head_quat_w_mean_Head_quat_x_mean,0.8595238095238096
Head_quat_x_mean_LeftHand_quat_x_median,0.8595238095238096
Head_quat_x_mean_LeftHand_quat_x_mean,0.8595238095238096
Head_quat_x_mean_LeftHand_quat_y_median,0.8595238095238096
Head_quat_x_mean_LeftHand_quat_y_mean,0.8595238095238096
Head_quat_x_mean_LeftHand_quat_z_median,0.84992784992785
Head_quat_x_mean_LeftHand_quat_z_mean,0.8595238095238096
Head_quat_x_mean_LeftHand_quat_w_median,0.8595238095238096
Head_quat_x_mean_LeftHand_quat_w_mean,0.8595238095238096
Head_quat_x_mean_RightHand_quat_x_median,0.8595238095238096
Head_quat_x_mean_RightHand_quat_x_mean,0.8595238095238096
Head_quat_x_mean_RightHand_quat_y_median,0.8595238095238096
Head_quat_x_mean_RightHand_quat_y_mean,0.8595238095238096
Head_quat_x_mean_RightHand_quat_z_median,0.8595238095238096
Head_quat_x_mean_RightHand_quat_z_mean,0.8595238095238096
Head_quat_x_mean_RightHand_quat_w_median,0.8595238095238096
Head_quat_x_mean_RightHand_quat_w_mean,0.8595238095238096
Head_quat_x_mean_Head_velocity_x_median,0.8547499401770758
Head_quat_x_mean_Head_velocity_x_mean,0.84992784992785
Head_quat_x_mean_Head_velocity_y_median,0.8595238095238096
Head_quat_x_mean_Head_velocity_y_mean,0.8595238095238096
Head_quat_x_mean_Head_velocity_z_median,0.8595238095238096
Head_quat_x_mean_Head_velocity_z_mean,0.8688942191480262
Head_quat_x_mean_LeftHand_velocity_x_median,0.8595238095238096
Head_quat_x_mean_LeftHand_velocity_x_mean,0.8547499401770758
Head_quat_x_mean_LeftHand_velocity_y_median,0.8595238095238096
Head_quat_x_mean_LeftHand_velocity_y_mean,0.874939874939875
Head_quat_x_mean_LeftHand_velocity_z_median,0.8595238095238096
Head_quat_x_mean_LeftHand_velocity_z_mean,0.8595238095238096
Head_quat_x_mean_RightHand_velocity_x_median,0.8595238095238096
Head_quat_x_mean_RightHand_velocity_x_mean,0.8595238095238096
Head_quat_x_mean_RightHand_velocity_y_median,0.8595238095238096
Head_quat_x_mean_RightHand_velocity_y_mean,0.8595238095238096
Head_quat_x_mean_RightHand_velocity_z_median,0.8595238095238096
Head_quat_x_mean_RightHand_velocity_z_mean,0.8547499401770758
Head_quat_x_mean_RightHand_velocity_z_max,0.8595238095238096
Head_quat_y_mean_Head_quat_y_median,0.8688942191480262
Head_quat_y_median_Head_quat_z_median,0.8595238095238096
Head_quat_y_median_Head_quat_z_mean,0.8595238095238096
Head_quat_w_median_Head_quat_y_median,0.8595238095238096
Head_quat_w_mean_Head_quat_y_median,0.8595238095238096
Head_quat_y_median_LeftHand_quat_x_median,0.8595238095238096
Head_quat_y_median_LeftHand_quat_x_mean,0.8547499401770758
Head_quat_y_median_LeftHand_quat_y_median,0.8595238095238096
Head_quat_y_median_LeftHand_quat_y_mean,0.8547499401770758
Head_quat_y_median_LeftHand_quat_z_median,0.8858114674441206
Head_quat_y_median_LeftHand_quat_z_mean,0.8858114674441206
Head_quat_y_median_LeftHand_quat_w_median,0.8595238095238096
Head_quat_y_median_LeftHand_quat_w_mean,0.8595238095238096
Head_quat_y_median_RightHand_quat_x_median,0.8595238095238096
Head_quat_y_median_RightHand_quat_x_mean,0.8595238095238096
Head_quat_y_median_RightHand_quat_y_median,0.8595238095238096
Head_quat_y_median_RightHand_quat_y_mean,0.8595238095238096
Head_quat_y_median_RightHand_quat_z_median,0.8595238095238096
Head_quat_y_median_RightHand_quat_z_mean,0.8595238095238096
Head_quat_y_median_RightHand_quat_w_median,0.8595238095238096
Head_quat_y_median_RightHand_quat_w_mean,0.8595238095238096
Head_quat_y_median_Head_velocity_x_median,0.8595238095238096
Head_quat_y_median_Head_velocity_x_mean,0.881159041963062
Head_quat_y_median_Head_velocity_y_median,0.8595238095238096
Head_quat_y_median_Head_velocity_y_mean,0.84992784992785
Head_quat_y_median_Head_velocity_z_median,0.8595238095238096
Head_quat_y_median_Head_velocity_z_mean,0.8547499401770758
Head_quat_y_median_LeftHand_velocity_x_median,0.8595238095238096
Head_quat_y_median_LeftHand_velocity_x_mean,0.8595238095238096
Head_quat_y_median_LeftHand_velocity_y_median,0.8595238095238096
Head_quat_y_median_LeftHand_velocity_y_mean,0.8450568044476674
Head_quat_y_median_LeftHand_velocity_z_median,0.8595238095238096
Head_quat_y_median_LeftHand_velocity_z_mean,0.8547499401770758
Head_quat_y_median_RightHand_velocity_x_median,0.8595238095238096
Head_quat_y_median_RightHand_velocity_x_mean,0.8595238095238096
Head_quat_y_median_RightHand_velocity_y_median,0.8547499401770758
Head_quat_y_median_RightHand_velocity_y_mean,0.8595238095238096
Head_quat_y_median_RightHand_velocity_z_median,0.84992784992785
Head_quat_y_median_RightHand_velocity_z_mean,0.8595238095238096
Head_quat_y_median_RightHand_velocity_z_max,0.8595238095238096
Head_quat_y_mean_Head_quat_z_median,0.8595238095238096
Head_quat_y_mean_Head_quat_z_mean,0.8595238095238096
Head_quat_w_median_Head_quat_y_mean,0.8547499401770758
Head_quat_w_mean_Head_quat_y_mean,0.8595238095238096
Head_quat_y_mean_LeftHand_quat_x_median,0.8595238095238096
Head_quat_y_mean_LeftHand_quat_x_mean,0.8595238095238096
Head_quat_y_mean_LeftHand_quat_y_median,0.8595238095238096
Head_quat_y_mean_LeftHand_quat_y_mean,0.8595238095238096
Head_quat_y_mean_LeftHand_quat_z_median,0.8791208791208791
Head_quat_y_mean_LeftHand_quat_z_mean,0.8688942191480262
Head_quat_y_mean_LeftHand_quat_w_median,0.8595238095238096
Head_quat_y_mean_LeftHand_quat_w_mean,0.8595238095238096
Head_quat_y_mean_RightHand_quat_x_median,0.8547499401770758
Head_quat_y_mean_RightHand_quat_x_mean,0.8595238095238096
Head_quat_y_mean_RightHand_quat_y_median,0.8595238095238096
Head_quat_y_mean_RightHand_quat_y_mean,0.881159041963062
Head_quat_y_mean_RightHand_quat_z_median,0.8595238095238096
Head_quat_y_mean_RightHand_quat_z_mean,0.8595238095238096
Head_quat_y_mean_RightHand_quat_w_median,0.8595238095238096
Head_quat_y_mean_RightHand_quat_w_mean,0.8595238095238096
Head_quat_y_mean_Head_velocity_x_median,0.8595238095238096
Head_quat_y_mean_Head_velocity_x_mean,0.8595238095238096
Head_quat_y_mean_Head_velocity_y_median,0.8595238095238096
Head_quat_y_mean_Head_velocity_y_mean,0.8629737609329446
Head_quat_y_mean_Head_velocity_z_median,0.8595238095238096
Head_quat_y_mean_Head_velocity_z_mean,0.8547499401770758
Head_quat_y_mean_LeftHand_velocity_x_median,0.8595238095238096
Head_quat_y_mean_LeftHand_velocity_x_mean,0.8595238095238096
Head_quat_y_mean_LeftHand_velocity_y_median,0.8595238095238096
Head_quat_y_mean_LeftHand_velocity_y_mean,0.8450568044476674
Head_quat_y_mean_LeftHand_velocity_z_median,0.8595238095238096
Head_quat_y_mean_LeftHand_velocity_z_mean,0.8595238095238096
Head_quat_y_mean_RightHand_velocity_x_median,0.8595238095238096
Head_quat_y_mean_RightHand_velocity_x_mean,0.8547499401770758
Head_quat_y_mean_RightHand_velocity_y_median,0.8595238095238096
Head_quat_y_mean_RightHand_velocity_y_mean,0.8595238095238096
Head_quat_y_mean_RightHand_velocity_z_median,0.881159041963062
Head_quat_y_mean_RightHand_velocity_z_mean,0.8595238095238096
Head_quat_y_mean_RightHand_velocity_z_max,0.8595238095238096
Head_quat_z_mean_Head_quat_z_median,0.8595238095238096
Head_quat_w_median_Head_quat_z_median,0.8595238095238096
Head_quat_w_mean_Head_quat_z_median,0.8595238095238096
Head_quat_z_median_LeftHand_quat_x_median,0.84992784992785
Head_quat_z_median_LeftHand_quat_x_mean,0.8595238095238096
Head_quat_z_median_LeftHand_quat_y_median,0.8595238095238096
Head_quat_z_median_LeftHand_quat_y_mean,0.8595238095238096
Head_quat_z_median_LeftHand_quat_z_median,0.8547499401770758
Head_quat_z_median_LeftHand_quat_z_mean,0.8595238095238096
Head_quat_z_median_LeftHand_quat_w_median,0.8595238095238096
Head_quat_z_median_LeftHand_quat_w_mean,0.8595238095238096
Head_quat_z_median_RightHand_quat_x_median,0.8595238095238096
Head_quat_z_median_RightHand_quat_x_mean,0.8688942191480262
Head_quat_z_median_RightHand_quat_y_median,0.84992784992785
Head_quat_z_median_RightHand_quat_y_mean,0.84992784992785
Head_quat_z_median_RightHand_quat_z_median,0.8595238095238096
Head_quat_z_median_RightHand_quat_z_mean,0.8595238095238096
Head_quat_z_median_RightHand_quat_w_median,0.8595238095238096
Head_quat_z_median_RightHand_quat_w_mean,0.8595238095238096
Head_quat_z_median_Head_velocity_x_median,0.8595238095238096
Head_quat_z_median_Head_velocity_x_mean,0.8595238095238096
Head_quat_z_median_Head_velocity_y_median,0.8547499401770758
Head_quat_z_median_Head_velocity_y_mean,0.8595238095238096
Head_quat_z_median_Head_velocity_z_median,0.8595238095238096
Head_quat_z_median_Head_velocity_z_mean,0.874939874939875
Head_quat_z_median_LeftHand_velocity_x_median,0.8595238095238096
Head_quat_z_median_LeftHand_velocity_x_mean,0.8351648351648352
Head_quat_z_median_LeftHand_velocity_y_median,0.8595238095238096
Head_quat_z_median_LeftHand_velocity_y_mean,0.8401360544217688
Head_quat_z_median_LeftHand_velocity_z_median,0.8450568044476674
Head_quat_z_median_LeftHand_velocity_z_mean,0.84992784992785
Head_quat_z_median_RightHand_velocity_x_median,0.8547499401770758
Head_quat_z_median_RightHand_velocity_x_mean,0.84992784992785
Head_quat_z_median_RightHand_velocity_y_median,0.8595238095238096
Head_quat_z_median_RightHand_velocity_y_mean,0.84992784992785
Head_quat_z_median_RightHand_velocity_z_median,0.8595238095238096
Head_quat_z_median_RightHand_velocity_z_mean,0.8595238095238096
Head_quat_z_median_RightHand_velocity_z_max,0.8595238095238096
Head_quat_w_median_Head_quat_z_mean,0.8547499401770758
Head_quat_w_mean_Head_quat_z_mean,0.8595238095238096
Head_quat_z_mean_LeftHand_quat_x_median,0.8595238095238096
Head_quat_z_mean_LeftHand_quat_x_mean,0.8595238095238096
Head_quat_z_mean_LeftHand_quat_y_median,0.8595238095238096
Head_quat_z_mean_LeftHand_quat_y_mean,0.8595238095238096
Head_quat_z_mean_LeftHand_quat_z_median,0.8595238095238096
Head_quat_z_mean_LeftHand_quat_z_mean,0.8595238095238096
Head_quat_z_mean_LeftHand_quat_w_median,0.8595238095238096
Head_quat_z_mean_LeftHand_quat_w_mean,0.8595238095238096
Head_quat_z_mean_RightHand_quat_x_median,0.8595238095238096
Head_quat_z_mean_RightHand_quat_x_mean,0.8547499401770758
Head_quat_z_mean_RightHand_quat_y_median,0.8547499401770758
Head_quat_z_mean_RightHand_quat_y_mean,0.84992784992785
Head_quat_z_mean_RightHand_quat_z_median,0.8595238095238096
Head_quat_z_mean_RightHand_quat_z_mean,0.8595238095238096
Head_quat_z_mean_RightHand_quat_w_median,0.8547499401770758
Head_quat_z_mean_RightHand_quat_w_mean,0.8595238095238096
Head_quat_z_mean_Head_velocity_x_median,0.8595238095238096
Head_quat_z_mean_Head_velocity_x_mean,0.8595238095238096
Head_quat_z_mean_Head_velocity_y_median,0.8595238095238096
Head_quat_z_mean_Head_velocity_y_mean,0.881159041963062
Head_quat_z_mean_Head_velocity_z_median,0.8595238095238096
Head_quat_z_mean_Head_velocity_z_mean,0.8547499401770758
Head_quat_z_mean_LeftHand_velocity_x_median,0.8595238095238096
Head_quat_z_mean_LeftHand_velocity_x_mean,0.84992784992785
